Variable Name,Variable Label,Description,Category,Type,Unit,Values/Value Range,Value Labels,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMFINE,Face mask mandate enforced by fines,Whether a face mask mandate is enforced through fines. Must apply to entire state.,masks,attribute,flag,"1,0","1=""YES"",0=""NO""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMCITE,Face mask mandate enforced by criminal charge/citation,Whether a face mask mandate is enforced through criminal charges/citations. Must apply to entire state.,masks,attribute,flag,"1,0","1=""YES"",0=""NO""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMNOENF,No legal enforcement of face mask mandate,Whether any legal enforcement measures of the face mask mandate are present statewide,masks,attribute,flag,"1,0","1=""YES"",0=""NO""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMENDVAX,Face mask mandate ended for fully vaccinated,The date a state ended its face mask mandate only for those who are fully vaccinated against COVID-19,masks,end,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMVAX,Face mask mandate resumed for fully vaccinated,The date a state re-implemented its face mask mandate for those who are fully vaccinated (only applies in states that never lifted mandate for unvaccinated people),masks,start,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMHIGH,Face mask mandate in areas with substantial and high COVID-19 transmission,The date a state implemented local face mask mandates dependent on levels of community COVID-19 transmission ,masks,start,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMSCHOOL,Face mask mandate in schools for 2021-22 school year,The date a state implemented face mask mandates in K-12 schools in preparation for the 2021-22 academic year,masks,start,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FM_END,Ended face mask mandate,The date a state reduced its order from applying to the entire state to only applying to certain high risk regions. Does not apply to states that never had a statewide order,masks,end,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FM_END2,Ended face mask mandate x2,The date a state reduced its order from applying to the entire state to only applying to certain high risk regions for the second period of time. Does not apply to states that never had a statewide order,masks,end,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMNOW,Face mask mandate currently in place for everyone,Whether a state has a face mask mandate in place for both vaccinated and unvaccinated people as of date of last review,masks,attribute,flag,"1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMSCHOOLBAN,Banned school face mask mandates,The date a state banned face mask mandates in K-12 schools,masks,start,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FM_EMP,Face mask mandate for employees in public-facing businesses,The date a state mandated that employees in public facing businesses must wear face masks statewide. Did not include guidance or recommendations. Order must apply to entire state,masks,start,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMLOCALBAN,Banned other local face mask mandates,"The date a state banned face mask mandates implemented or enforced by local jurisdictions, not including K-12 schools",masks,start,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STOPFMBAN,Judicial decision blocked state from enforcing bans on face mask mandates,The date a judge or court made a decision to block the state from enforcing bans on face mask mandates in schools and/or in local jurisdictions,masks,end,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALCOPEN,Alcohol/Liquor Stores Open,Whether states kept alcohol/liquor stores open during the pandemic. Must apply to entire state,alcohol_firearms,attribute,flag,"1,0","1=""YES"",0=""NO""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALCREST,Allow restaurants to sell takeout alcohol,The date when states allowed restaurants to sell takeout alcohol. Must apply to entire state,alcohol_firearms,start,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALCDELIV,Allow restaurants to deliver alcohol,The date when states allowed restaurants to deliver alcohol. Must apply to entire state,alcohol_firearms,start,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUNOPEN,Keep Firearms Sellers Open,Whether states kept firearms sellers open. Must apply to entire state.,alcohol_firearms,attribute,flag,"1,0","1=""YES"",0=""NO""","If states initially closed, then later reopened firearm sellers during the pandemic (not as part of the phased reopening process), they would be indicated as 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANNABIS,Cannabis dispensaries considered essential business,If a state considered medical or recreational cannabis dispensaries to be essential businesses. States closed non-essential businesses in response to the pandemic.,physical_distance_closures,attribute,flag,"1,0","1=""YES"",0=""NO""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLREST,Closed restaurants except take out,The date when states closed restaurants (except for takeout). Did not include guidance or recommendations. Order must apply to entire state,physical_distance_closures,start,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENDREST,Reopen restaurants,"The date when states reopened restaurants (for indoor and/or outdoor dining) statewide. If states never closed restaurants, they will be marked as 0.",reopening,end,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSTOUTDR,Initially reopen restaurants for outdoor dining only,Whether restaurants could initially reopen only for outdoor dining as part of the phased reopening process. Did not include guidance or recommendations. Order must apply to entire state,reopening,attribute,flag,"1,0","1=""YES"",0=""NO""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLGYM,Closed gyms,The date states closed indoor gyms/fitness centers. Did not include guidance or recommendations. Order must apply to entire state,physical_distance_closures,start,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENDGYM,Reopened gyms,The date states reopened indoor gyms/fitness centers statewide.If states never closed gyms they will be marked as 0,reopening,end,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLMOVIE,Closed movie theaters,The date states closed movie theaters. Did not include guidance or recommendations. Order must apply to entire state,physical_distance_closures,start,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
END_MOV,Reopened movie theaters,The date states reopened movie theaters statewide. If states never closed movie theaters they will be marked as 0.,reopening,end,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOSEBAR,Closed Bars,"The date states closed bars statewide. Unless otherwise noted, bars are defined as establishments that derive more than 50 percent of gross revenue from the sales of alcoholic beverages. Did not include guidance or recommendations. Order must apply to entire state",physical_distance_closures,start,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASCLOSE,State Casino Closure,If a state issued orders to close casinos throughout the state. Must be an order and not a suggestion or guidance. Order must apply to the entire state excepting soverign territories.,physical_distance_closures,start,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASTRIBCAS,Mentions Tribal Casinos,If a state order included mention of the existance of tribal casinos or mention of collaboration with the tribes.,physical_distance_closures,attribute,flag,"1,0","1=""YES"",0=""NO""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
END_BRS,Reopen bars,"The date states reopen bars statewide. Unless otherwise noted, bars are defined as establishments that derive more than 50 percent of gross revenue from the sales of alcoholic beverages. If states never closed bars they will be marked as 0",reopening,end,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
END_HAIR,Reopened hair salons/barber shops,"The date states reopened hair salons barber shops statewide. If states never closed hair salons/barber shops, they will be marked as 0",reopening,end,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
END_RELG,Reopen Religious Gatherings,"The date states reopened religious gatherings statewide. If states never closed religious gatherings, they will be marked as 0",reopening,end,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENDRETL,Reopen other non-essential retail,"The date states reopened non essential retail statewide. If states never stopped non-essential retail, they will be marked as 0",reopening,end,date,0: policy not implemented;,,NE- never closed non-essential retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASOPEN,State Casino Re-Opening,If a state issued orders to re-open casinos throughout the state. Must be an order and not a suggestion or guidance. Order must apply to the entire state.,reopening,end,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CURFEWEND,Allowed businesses to reopen overnight,"For states that had implemented restrictions to the hours that businesses may operate overnight, the date a state allowed businesses to return to operations at all hours of the night",reopening,end,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCLBAR2,Begin to Re-Close Bars,"The first date a state reclosed bars after an initial reopening. The closure can be restricted to a city or county, but must be mandated by the governor or state-level agency. Did not include guidance or recommendations. If a state never reopened bars they will be marked as 0.",second_closures,start,date,0: policy not implemented;,,Refers to the first state mandated action to reclose bars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLBAR2,Re-close bars statewide,The date a state reclosed bars statewide after an initial opening. Did not include guidance or recommendations. If a state never reopened bars they will be marked as 0.,second_closures,start,date,0: policy not implemented;,,Refers to when states have closed bars statewide after an initial reopening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLMV2,Re-close movie theaters statewide,The date a state reclosed movie theaters statewide after an initial opening. Did not include guidance or recommendations. If a state never reopened movie theaters they will be marked as 0.,second_closures,start,date,0: policy not implemented;,,Refers to when states have closed movie theaters statewide after an initial reopening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLGYM2,Re-close gyms statewide,The date a state reclosed indoor gyms/fitness centers statewide after an initial opening. Did not include guidance or recommendations. If a state never reopened indoor gyms/fitness they will be marked as 0.,second_closures,start,date,0: policy not implemented;,,Refers to when states have closed gyms statewide after an initial reopening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLRST2,Re-close indoor dining statewide,The date a state reclosed indoor dining statewide after an initial opening. Did not include guidance or recommendations. If a state never reopened indoor dining they will be marked as 0.,second_closures,start,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLHAIR2,Re-close hair salons and barber shops statewide,"The date states re-closed hair salons barber shops statewide. If states never closed hair salons/barber shops, they will be marked as 0",second_closures,start,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASCLOSE2,Re-close casinos,If a state issued orders to close casinos throughout the state for a second time. Must be an order and not a suggestion or guidance. Order must apply to the entire state excepting soverign territories.,second_closures,start,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENDREST2,Re-open indoor dining statewide (x2),"The date when states reopened restaurants (for indoor and/or outdoor dining) statewide for a second time. If states never re-closed restaurants, they will be marked as 0.",second_closures,end,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
END_BRS2,Re-open bars statewide (x2),"The date states reopened bars statewide for a second time. Unless otherwise noted, bars are defined as establishments that derive more than 50 percent of gross revenue from the sales of alcoholic beverages. If states never closed bars they will be marked as 0",second_closures,end,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
END_CLGYM2,Re-open gyms statewide (x2),"The date states reopened indoor gyms/fitness centers statewide for a second time. If states never re-closed gyms, they will be marked as 0.",second_closures,end,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
END_CLHAIR2,Re-open hair salons and barber shops statewide (x2),"The date states reopened hair salons/barber shops statewide for a second time. If states never re-closed hair salons/barber shops, they will be marked as 0.",second_closures,end,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
END_CLMV2,Re-open movie theaters statewide (x2),"The date states reopened movie theaters statewide for a second time. If states never re-closed movie theaters, they will be marked as 0.",second_closures,end,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASOPEN2,Second Casino Re-Opening,If a state issued orders to re-open casinos throughout the state for a second time. Must be an order and not a suggestion or guidance. Order must apply to the entire state.,second_closures,end,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLBAR3,Closed bars (x3),The date a state reclosed bars statewide for the third time. Did not include guidance or recommendations. If a state never reopened bars they will be marked as 0.,third_closures,start,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLRST3,Closed restaurants (x3),The date a state reclosed indoor dining statewide for the third time. Did not include guidance or recommendations. If a state never reopened indoor dining they will be marked as 0.,third_closures,start,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
END_CLBAR3,Reopened restaurants (x3),"The date a state reopened bars statewide for a third time. If states never closed bars for a third time, they will be marked as 0.",third_closures,end,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
END_CLRST3,Reopened restaurants (x3),"The date when states reopened restaurants (for indoor and/or outdoor dining) statewide for a third time. If states never closed restaurants for a third time, they will be marked as 0.",third_closures,end,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QRSOMEST,Mandate quarantine for those entering the state from specific states,The date a state first mandated that individuals arriving in their state from a specific state(s) must undergo quarantine. Did not include guidance or recommendations. Order must apply to entire state. Quarantine order must apply to visitors using all forms of transportation to enter the state (not just air travel),quarantines,start,date,0: policy not implemented;,,Date indicates the first state-specific quarantine order issued by governor/public health department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QR_ALLST,Mandate quarantine for all individuals entering the state from another state,The date a state first mandated that individuals arriving in their state from any state must undergo quarantine. Did not include guidance or recommendations. Order must apply to entire state. Quarantine order must apply to visitors using all forms of transportation to enter the state (not just air travel),quarantines,start,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QR_END,Date all mandated quarantines ended,The date a state ended all mandated quarantines for individuals arriving from out of state. If any statewide quarantines for out of state individuals is still in effect or if the state never had a quarantine in effect the column will bear a 0.,quarantines,end,date,0: policy not implemented;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAC_PLAN,Date allocation plan last updated,The date a state last released to the public an updated version of their COVID-19 vaccine allocation plan,vaccine,start,date,0: no plan released;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAC_HCW,Vaccine allocation phase: Frontline Healthcare Workers,"The phase of a state's vaccine allocation plan in which frontline health care workers may be eligible to receive a COVID-19 vaccine. Refers to those in clinical & nonclinical roles working in hospitals, nursing homes, direct mental health care settings, etc",vaccine,attribute,text,"1, 1A, 1B, 1C, 1D, 1E, 2, 2A, 2B, 3, 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAC_HCS,Vaccine allocation phase: Healthcare Service Workers,"The phase of a state's vaccine allocation plan in which healthcare service workers may be eligible to receive a COVID-19 vaccine. Refers to those who work in healthcare settings in roles including but not limited to patient transport, environmental services, mortuary workers, etc",vaccine,attribute,text,"1, 1A, 1B, 1C, 1D, 1E, 2, 2A, 2B, 3, 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAC_HHC,Vaccine allocation phase: Home Healthcare Workers,The phase of a state's vaccine allocation plan in which home healthcare workers may be eligible to receive a COVID-19 vaccine. Also includes those providing hospice care,vaccine,attribute,text,"1, 1A, 1B, 1C, 1D, 1E, 2, 2A, 2B, 3, 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAC_AHC,Vaccine allocation phase: Additional Healthcare Workers,"The phase of a state's vaccine allocation plan in which additional healthcare workers may be eligible to receive a COVID-19 vaccine. Typically refers to those working in outpatient healthcare settings in roles including but not limited to dentists, pharmacists, etc",vaccine,attribute,text,"1, 1A, 1B, 1C, 1D, 1E, 2, 2A, 2B, 3, 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAC_LTC,Vaccine allocation phase: Long-term Care Residents,The phase of a state's vaccine allocation plan in which residents of long-term care facilities may be eligible to receive a COVID-19 vaccine,vaccine,attribute,text,"1, 1A, 1B, 1C, 1D, 1E, 2, 2A, 2B, 3, 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAC_EMS,Vaccine allocation phase: EMS Providers,The phase of a state's vaccine allocation plan in which emergency medical services personnel may be eligible to receive a COVID-19 vaccine,vaccine,attribute,text,"1, 1A, 1B, 1C, 1D, 1E, 2, 2A, 2B, 3, 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAC_FF,Vaccine allocation phase: Firefighters,The phase of a state's vaccine allocation plan in which firefighters may be eligible to receive a COVID-19 vaccine,vaccine,attribute,text,"1, 1A, 1B, 1C, 1D, 1E, 2, 2A, 2B, 3, 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAC_LAW,Vaccine allocation phase: Law Enforcement & Public Safety Personnel,The phase of a state's vaccine allocation plan in which law enforcement and public safety personnel may be eligible to receive a COVID-19 vaccine,vaccine,attribute,text,"1, 1A, 1B, 1C, 1D, 1E, 2, 2A, 2B, 3, 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAC_CORR,Vaccine allocation phase: Correctional Staff,The phase of a state's vaccine allocation plan in which corrections officers and staff may be eligible to receive a COVID-19 vaccine,vaccine,attribute,text,"1, 1A, 1B, 1C, 1D, 1E, 2, 2A, 2B, 3, 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAC_INC,Vaccine allocation phase: People who are Incarcerated,The phase of a state's vaccine allocation plan in which people who are incarcerated may be eligible to receive a COVID-19 vaccine,vaccine,attribute,text,"1, 1A, 1B, 1C, 1D, 1E, 2, 2A, 2B, 3, 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAC_SHELTER,Vaccine allocation phase: Residents of Homeless Shelters,The phase of a state's vaccine allocation plan in which people who reside in homeless shelters may be eligible to receive a COVID-19 vaccine,vaccine,attribute,text,"1, 1A, 1B, 1C, 1D, 1E, 2, 2A, 2B, 3, 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAC_75,Vaccine allocation phase: Adults Ages 75+,The phase of a state's vaccine allocation plan in which adults ages 75 and older may be eligible to receive a COVID-19 vaccine,vaccine,attribute,text,"1, 1A, 1B, 1C, 1D, 1E, 2, 2A, 2B, 3, 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAC_65,Vaccine allocation phase: Adults Ages 65+,The phase of a state's vaccine allocation plan in which adults ages 65 and older may be eligible to receive a COVID-19 vaccine,vaccine,attribute,text,"1, 1A, 1B, 1C, 1D, 1E, 2, 2A, 2B, 3, 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
