,policy,category,fips,state,statename,year,month,day,adopted,ended
13,State of emergency issued,state_of_emergency,17,IL,Illinois,2020,03,09,1.0,True
64,State of emergency lifted,state_of_emergency,17,IL,Illinois,,,,0.0,True
14,State of emergency issued,state_of_emergency,18,IN,Indiana,2020,03,06,1.0,True
65,State of emergency lifted,state_of_emergency,18,IN,Indiana,,,,0.0,True
15,State of emergency issued,state_of_emergency,19,IA,Iowa,2020,03,09,1.0,True
66,State of emergency lifted,state_of_emergency,19,IA,Iowa,,,,0.0,True
16,State of emergency issued,state_of_emergency,20,KS,Kansas,2020,03,12,1.0,True
67,State of emergency lifted,state_of_emergency,20,KS,Kansas,2021,06,15,0.0,True
17,State of emergency issued,state_of_emergency,21,KY,Kentucky,2020,03,06,1.0,True
68,State of emergency lifted,state_of_emergency,21,KY,Kentucky,,,,0.0,True
18,State of emergency issued,state_of_emergency,22,LA,Louisiana,2020,03,11,1.0,True
69,State of emergency lifted,state_of_emergency,22,LA,Louisiana,,,,0.0,True
19,State of emergency issued,state_of_emergency,23,ME,Maine,2020,03,15,1.0,True
70,State of emergency lifted,state_of_emergency,23,ME,Maine,2021,06,30,0.0,True
20,State of emergency issued,state_of_emergency,24,MD,Maryland,2020,03,05,1.0,True
71,State of emergency lifted,state_of_emergency,24,MD,Maryland,2021,07,01,0.0,True
21,State of emergency issued,state_of_emergency,25,MA,Massachusetts,2020,03,10,1.0,True
72,State of emergency lifted,state_of_emergency,25,MA,Massachusetts,2021,06,15,0.0,True
22,State of emergency issued,state_of_emergency,26,MI,Michigan,2020,03,10,1.0,True
73,State of emergency lifted,state_of_emergency,26,MI,Michigan,2020,10,02,0.0,True
23,State of emergency issued,state_of_emergency,27,MN,Minnesota,2020,03,13,1.0,True
74,State of emergency lifted,state_of_emergency,27,MN,Minnesota,2021,07,01,0.0,True
24,State of emergency issued,state_of_emergency,28,MS,Mississippi,2020,03,14,1.0,True
75,State of emergency lifted,state_of_emergency,28,MS,Mississippi,,,,0.0,True
25,State of emergency issued,state_of_emergency,29,MO,Missouri,2020,03,13,1.0,True
76,State of emergency lifted,state_of_emergency,29,MO,Missouri,,,,0.0,True
26,State of emergency issued,state_of_emergency,30,MT,Montana,2020,03,12,1.0,True
77,State of emergency lifted,state_of_emergency,30,MT,Montana,2021,06,30,0.0,True
27,State of emergency issued,state_of_emergency,31,NE,Nebraska,2020,03,13,1.0,True
78,State of emergency lifted,state_of_emergency,31,NE,Nebraska,,,,0.0,True
28,State of emergency issued,state_of_emergency,32,NV,Nevada,2020,03,12,1.0,True
79,State of emergency lifted,state_of_emergency,32,NV,Nevada,,,,0.0,True
29,State of emergency issued,state_of_emergency,33,NH,New Hampshire,2020,03,13,1.0,True
80,State of emergency lifted,state_of_emergency,33,NH,New Hampshire,,,,0.0,True
30,State of emergency issued,state_of_emergency,34,NJ,New Jersey,2020,03,09,1.0,True
81,State of emergency lifted,state_of_emergency,34,NJ,New Jersey,2021,06,04,0.0,True
31,State of emergency issued,state_of_emergency,35,NM,New Mexico,2020,03,11,1.0,True
82,State of emergency lifted,state_of_emergency,35,NM,New Mexico,,,,0.0,True
32,State of emergency issued,state_of_emergency,36,NY,New York,2020,03,07,1.0,True
83,State of emergency lifted,state_of_emergency,36,NY,New York,2021,06,25,0.0,True
33,State of emergency issued,state_of_emergency,37,NC,North Carolina,2020,03,10,1.0,True
84,State of emergency lifted,state_of_emergency,37,NC,North Carolina,,,,0.0,True
34,State of emergency issued,state_of_emergency,38,ND,North Dakota,2020,03,13,1.0,True
85,State of emergency lifted,state_of_emergency,38,ND,North Dakota,,,,0.0,True
35,State of emergency issued,state_of_emergency,39,OH,Ohio,2020,03,09,1.0,True
86,State of emergency lifted,state_of_emergency,39,OH,Ohio,2021,06,18,0.0,True
36,State of emergency issued,state_of_emergency,40,OK,Oklahoma,2020,03,15,1.0,True
87,State of emergency lifted,state_of_emergency,40,OK,Oklahoma,2021,05,04,0.0,True
37,State of emergency issued,state_of_emergency,41,OR,Oregon,2020,03,08,1.0,True
88,State of emergency lifted,state_of_emergency,41,OR,Oregon,,,,0.0,True
38,State of emergency issued,state_of_emergency,42,PA,Pennsylvania,2020,03,06,1.0,True
89,State of emergency lifted,state_of_emergency,42,PA,Pennsylvania,2021,06,10,0.0,True
39,State of emergency issued,state_of_emergency,44,RI,Rhode Island,2020,03,09,1.0,True
90,State of emergency lifted,state_of_emergency,44,RI,Rhode Island,,,,0.0,True
40,State of emergency issued,state_of_emergency,45,SC,South Carolina,2020,03,13,1.0,True
91,State of emergency lifted,state_of_emergency,45,SC,South Carolina,2021,06,07,0.0,True
41,State of emergency issued,state_of_emergency,46,SD,South Dakota,2020,03,13,1.0,True
92,State of emergency lifted,state_of_emergency,46,SD,South Dakota,,,,0.0,True
42,State of emergency issued,state_of_emergency,47,TN,Tennessee,2020,03,12,1.0,True
93,State of emergency lifted,state_of_emergency,47,TN,Tennessee,,,,0.0,True
43,State of emergency issued,state_of_emergency,48,TX,Texas,2020,03,13,1.0,True
94,State of emergency lifted,state_of_emergency,48,TX,Texas,,,,0.0,True
44,State of emergency issued,state_of_emergency,49,UT,Utah,2020,03,06,1.0,True
95,State of emergency lifted,state_of_emergency,49,UT,Utah,,,,0.0,True
45,State of emergency issued,state_of_emergency,50,VT,Vermont,2020,03,13,1.0,True
96,State of emergency lifted,state_of_emergency,50,VT,Vermont,2021,06,16,0.0,True
46,State of emergency issued,state_of_emergency,51,VA,Virginia,2020,03,12,1.0,True
97,State of emergency lifted,state_of_emergency,51,VA,Virginia,2021,07,01,0.0,True
47,State of emergency issued,state_of_emergency,53,WA,Washington,2020,02,29,1.0,True
98,State of emergency lifted,state_of_emergency,53,WA,Washington,,,,0.0,True
48,State of emergency issued,state_of_emergency,54,WV,West Virginia,2020,03,16,1.0,True
99,State of emergency lifted,state_of_emergency,54,WV,West Virginia,,,,0.0,True
49,State of emergency issued,state_of_emergency,55,WI,Wisconsin,2020,03,12,1.0,True
100,State of emergency lifted,state_of_emergency,55,WI,Wisconsin,,,,0.0,True
50,State of emergency issued,state_of_emergency,56,WY,Wyoming,2020,03,13,1.0,True
101,State of emergency lifted,state_of_emergency,56,WY,Wyoming,,,,0.0,True
204,Closed day cares,closure,1,AL,Alabama,2020,03,20,1.0,True
255,Reopen day cares,reopening,1,AL,Alabama,2020,05,23,0.0,True
205,Closed day cares,closure,2,AK,Alaska,,,,1.0,True
256,Reopen day cares,reopening,2,AK,Alaska,,,,0.0,True
206,Closed day cares,closure,4,AZ,Arizona,,,,1.0,True
257,Reopen day cares,reopening,4,AZ,Arizona,,,,0.0,True
207,Closed day cares,closure,5,AR,Arkansas,,,,1.0,True
258,Reopen day cares,reopening,5,AR,Arkansas,,,,0.0,True
208,Closed day cares,closure,6,CA,California,,,,1.0,True
259,Reopen day cares,reopening,6,CA,California,,,,0.0,True
209,Closed day cares,closure,8,CO,Colorado,,,,1.0,True
260,Reopen day cares,reopening,8,CO,Colorado,,,,0.0,True
210,Closed day cares,closure,9,CT,Connecticut,,,,1.0,True
261,Reopen day cares,reopening,9,CT,Connecticut,,,,0.0,True
211,Closed day cares,closure,10,DE,Delaware,2020,04,06,1.0,True
262,Reopen day cares,reopening,10,DE,Delaware,2020,06,15,0.0,True
212,Closed day cares,closure,11,DC,District of Columbia,,,,1.0,True
263,Reopen day cares,reopening,11,DC,District of Columbia,,,,0.0,True
213,Closed day cares,closure,12,FL,Florida,,,,1.0,True
264,Reopen day cares,reopening,12,FL,Florida,,,,0.0,True
214,Closed day cares,closure,13,GA,Georgia,,,,1.0,True
265,Reopen day cares,reopening,13,GA,Georgia,,,,0.0,True
215,Closed day cares,closure,15,HI,Hawaii,,,,1.0,True
266,Reopen day cares,reopening,15,HI,Hawaii,,,,0.0,True
216,Closed day cares,closure,16,ID,Idaho,,,,1.0,True
267,Reopen day cares,reopening,16,ID,Idaho,,,,0.0,True
217,Closed day cares,closure,17,IL,Illinois,2020,03,23,1.0,True
268,Reopen day cares,reopening,17,IL,Illinois,2020,05,29,0.0,True
218,Closed day cares,closure,18,IN,Indiana,,,,1.0,True
269,Reopen day cares,reopening,18,IN,Indiana,,,,0.0,True
219,Closed day cares,closure,19,IA,Iowa,,,,1.0,True
270,Reopen day cares,reopening,19,IA,Iowa,,,,0.0,True
220,Closed day cares,closure,20,KS,Kansas,,,,1.0,True
271,Reopen day cares,reopening,20,KS,Kansas,,,,0.0,True
221,Closed day cares,closure,21,KY,Kentucky,2020,03,23,1.0,True
272,Reopen day cares,reopening,21,KY,Kentucky,2020,06,08,0.0,True
222,Closed day cares,closure,22,LA,Louisiana,,,,1.0,True
273,Reopen day cares,reopening,22,LA,Louisiana,,,,0.0,True
223,Closed day cares,closure,23,ME,Maine,,,,1.0,True
274,Reopen day cares,reopening,23,ME,Maine,,,,0.0,True
224,Closed day cares,closure,24,MD,Maryland,2020,03,30,1.0,True
275,Reopen day cares,reopening,24,MD,Maryland,2020,06,19,0.0,True
225,Closed day cares,closure,25,MA,Massachusetts,2020,03,23,1.0,True
276,Reopen day cares,reopening,25,MA,Massachusetts,2020,06,08,0.0,True
226,Closed day cares,closure,26,MI,Michigan,2020,03,24,1.0,True
277,Reopen day cares,reopening,26,MI,Michigan,2020,06,08,0.0,True
227,Closed day cares,closure,27,MN,Minnesota,,,,1.0,True
278,Reopen day cares,reopening,27,MN,Minnesota,,,,0.0,True
228,Closed day cares,closure,28,MS,Mississippi,,,,1.0,True
279,Reopen day cares,reopening,28,MS,Mississippi,,,,0.0,True
229,Closed day cares,closure,29,MO,Missouri,,,,1.0,True
280,Reopen day cares,reopening,29,MO,Missouri,,,,0.0,True
230,Closed day cares,closure,30,MT,Montana,,,,1.0,True
281,Reopen day cares,reopening,30,MT,Montana,,,,0.0,True
231,Closed day cares,closure,31,NE,Nebraska,,,,1.0,True
282,Reopen day cares,reopening,31,NE,Nebraska,,,,0.0,True
232,Closed day cares,closure,32,NV,Nevada,,,,1.0,True
283,Reopen day cares,reopening,32,NV,Nevada,,,,0.0,True
233,Closed day cares,closure,33,NH,New Hampshire,,,,1.0,True
284,Reopen day cares,reopening,33,NH,New Hampshire,,,,0.0,True
234,Closed day cares,closure,34,NJ,New Jersey,2020,03,18,1.0,True
285,Reopen day cares,reopening,34,NJ,New Jersey,2020,06,15,0.0,True
235,Closed day cares,closure,35,NM,New Mexico,,,,1.0,True
286,Reopen day cares,reopening,35,NM,New Mexico,,,,0.0,True
236,Closed day cares,closure,36,NY,New York,,,,1.0,True
287,Reopen day cares,reopening,36,NY,New York,,,,0.0,True
237,Closed day cares,closure,37,NC,North Carolina,,,,1.0,True
288,Reopen day cares,reopening,37,NC,North Carolina,,,,0.0,True
238,Closed day cares,closure,38,ND,North Dakota,,,,1.0,True
289,Reopen day cares,reopening,38,ND,North Dakota,,,,0.0,True
239,Closed day cares,closure,39,OH,Ohio,2020,03,26,1.0,True
290,Reopen day cares,reopening,39,OH,Ohio,2020,05,31,0.0,True
240,Closed day cares,closure,40,OK,Oklahoma,,,,1.0,True
291,Reopen day cares,reopening,40,OK,Oklahoma,,,,0.0,True
241,Closed day cares,closure,41,OR,Oregon,2020,03,25,1.0,True
292,Reopen day cares,reopening,41,OR,Oregon,2020,05,16,0.0,True
242,Closed day cares,closure,42,PA,Pennsylvania,2020,03,17,1.0,True
293,Reopen day cares,reopening,42,PA,Pennsylvania,2020,06,05,0.0,True
243,Closed day cares,closure,44,RI,Rhode Island,2020,03,16,1.0,True
294,Reopen day cares,reopening,44,RI,Rhode Island,2020,06,01,0.0,True
244,Closed day cares,closure,45,SC,South Carolina,,,,1.0,True
295,Reopen day cares,reopening,45,SC,South Carolina,,,,0.0,True
245,Closed day cares,closure,46,SD,South Dakota,,,,1.0,True
296,Reopen day cares,reopening,46,SD,South Dakota,,,,0.0,True
246,Closed day cares,closure,47,TN,Tennessee,,,,1.0,True
297,Reopen day cares,reopening,47,TN,Tennessee,,,,0.0,True
247,Closed day cares,closure,48,TX,Texas,,,,1.0,True
298,Reopen day cares,reopening,48,TX,Texas,,,,0.0,True
248,Closed day cares,closure,49,UT,Utah,,,,1.0,True
299,Reopen day cares,reopening,49,UT,Utah,,,,0.0,True
249,Closed day cares,closure,50,VT,Vermont,2020,03,18,1.0,True
300,Reopen day cares,reopening,50,VT,Vermont,2020,06,01,0.0,True
250,Closed day cares,closure,51,VA,Virginia,,,,1.0,True
301,Reopen day cares,reopening,51,VA,Virginia,,,,0.0,True
251,Closed day cares,closure,53,WA,Washington,,,,1.0,True
302,Reopen day cares,reopening,53,WA,Washington,,,,0.0,True
252,Closed day cares,closure,54,WV,West Virginia,2020,03,26,1.0,True
303,Reopen day cares,reopening,54,WV,West Virginia,2020,04,30,0.0,True
253,Closed day cares,closure,55,WI,Wisconsin,,,,1.0,True
304,Reopen day cares,reopening,55,WI,Wisconsin,,,,0.0,True
254,Closed day cares,closure,56,WY,Wyoming,2020,03,19,1.0,True
305,Reopen day cares,reopening,56,WY,Wyoming,2020,05,01,0.0,True
408,Stay at home order' issued but did not specifically restrict movement of the general public,shelter,1,AL,Alabama,,,,1.0,True
459,End/relax stay at home/shelter in place,shelter,1,AL,Alabama,2020,04,30,0.0,True
409,Stay at home order' issued but did not specifically restrict movement of the general public,shelter,2,AK,Alaska,,,,1.0,True
460,End/relax stay at home/shelter in place,shelter,2,AK,Alaska,2020,04,24,0.0,True
410,Stay at home order' issued but did not specifically restrict movement of the general public,shelter,4,AZ,Arizona,,,,1.0,True
461,End/relax stay at home/shelter in place,shelter,4,AZ,Arizona,2020,05,16,0.0,True
411,Stay at home order' issued but did not specifically restrict movement of the general public,shelter,5,AR,Arkansas,,,,1.0,True
462,End/relax stay at home/shelter in place,shelter,5,AR,Arkansas,,,,0.0,True
412,Stay at home order' issued but did not specifically restrict movement of the general public,shelter,6,CA,California,,,,1.0,True
463,End/relax stay at home/shelter in place,shelter,6,CA,California,2021,01,25,0.0,True
413,Stay at home order' issued but did not specifically restrict movement of the general public,shelter,8,CO,Colorado,,,,1.0,True
464,End/relax stay at home/shelter in place,shelter,8,CO,Colorado,2020,04,27,0.0,True
414,Stay at home order' issued but did not specifically restrict movement of the general public,shelter,9,CT,Connecticut,2020,03,23,1.0,True
465,End/relax stay at home/shelter in place,shelter,9,CT,Connecticut,2020,05,20,0.0,True
415,Stay at home order' issued but did not specifically restrict movement of the general public,shelter,10,DE,Delaware,,,,1.0,True
466,End/relax stay at home/shelter in place,shelter,10,DE,Delaware,2020,06,01,0.0,True
416,Stay at home order' issued but did not specifically restrict movement of the general public,shelter,11,DC,District of Columbia,,,,1.0,True
467,End/relax stay at home/shelter in place,shelter,11,DC,District of Columbia,2020,05,29,0.0,True
417,Stay at home order' issued but did not specifically restrict movement of the general public,shelter,12,FL,Florida,,,,1.0,True
468,End/relax stay at home/shelter in place,shelter,12,FL,Florida,2020,05,18,0.0,True
418,Stay at home order' issued but did not specifically restrict movement of the general public,shelter,13,GA,Georgia,,,,1.0,True
469,End/relax stay at home/shelter in place,shelter,13,GA,Georgia,2020,05,01,0.0,True
419,Stay at home order' issued but did not specifically restrict movement of the general public,shelter,15,HI,Hawaii,2020,05,07,1.0,True
470,End/relax stay at home/shelter in place,shelter,15,HI,Hawaii,2020,05,31,0.0,True
420,Stay at home order' issued but did not specifically restrict movement of the general public,shelter,16,ID,Idaho,,,,1.0,True
471,End/relax stay at home/shelter in place,shelter,16,ID,Idaho,2020,05,01,0.0,True
421,Stay at home order' issued but did not specifically restrict movement of the general public,shelter,17,IL,Illinois,,,,1.0,True
472,End/relax stay at home/shelter in place,shelter,17,IL,Illinois,2020,05,29,0.0,True
422,Stay at home order' issued but did not specifically restrict movement of the general public,shelter,18,IN,Indiana,,,,1.0,True
473,End/relax stay at home/shelter in place,shelter,18,IN,Indiana,2020,05,18,0.0,True
423,Stay at home order' issued but did not specifically restrict movement of the general public,shelter,19,IA,Iowa,,,,1.0,True
474,End/relax stay at home/shelter in place,shelter,19,IA,Iowa,,,,0.0,True
424,Stay at home order' issued but did not specifically restrict movement of the general public,shelter,20,KS,Kansas,,,,1.0,True
475,End/relax stay at home/shelter in place,shelter,20,KS,Kansas,2020,05,04,0.0,True
425,Stay at home order' issued but did not specifically restrict movement of the general public,shelter,21,KY,Kentucky,2020,03,26,1.0,True
476,End/relax stay at home/shelter in place,shelter,21,KY,Kentucky,2020,06,29,0.0,True
426,Stay at home order' issued but did not specifically restrict movement of the general public,shelter,22,LA,Louisiana,,,,1.0,True
477,End/relax stay at home/shelter in place,shelter,22,LA,Louisiana,2020,05,15,0.0,True
427,Stay at home order' issued but did not specifically restrict movement of the general public,shelter,23,ME,Maine,,,,1.0,True
478,End/relax stay at home/shelter in place,shelter,23,ME,Maine,2020,05,31,0.0,True
428,Stay at home order' issued but did not specifically restrict movement of the general public,shelter,24,MD,Maryland,,,,1.0,True
479,End/relax stay at home/shelter in place,shelter,24,MD,Maryland,2020,05,15,0.0,True
429,Stay at home order' issued but did not specifically restrict movement of the general public,shelter,25,MA,Massachusetts,,,,1.0,True
480,End/relax stay at home/shelter in place,shelter,25,MA,Massachusetts,2020,05,18,0.0,True
430,Stay at home order' issued but did not specifically restrict movement of the general public,shelter,26,MI,Michigan,,,,1.0,True
481,End/relax stay at home/shelter in place,shelter,26,MI,Michigan,2020,06,01,0.0,True
431,Stay at home order' issued but did not specifically restrict movement of the general public,shelter,27,MN,Minnesota,,,,1.0,True
482,End/relax stay at home/shelter in place,shelter,27,MN,Minnesota,2020,05,18,0.0,True
432,Stay at home order' issued but did not specifically restrict movement of the general public,shelter,28,MS,Mississippi,,,,1.0,True
483,End/relax stay at home/shelter in place,shelter,28,MS,Mississippi,2020,04,27,0.0,True
433,Stay at home order' issued but did not specifically restrict movement of the general public,shelter,29,MO,Missouri,,,,1.0,True
484,End/relax stay at home/shelter in place,shelter,29,MO,Missouri,2020,05,04,0.0,True
434,Stay at home order' issued but did not specifically restrict movement of the general public,shelter,30,MT,Montana,,,,1.0,True
485,End/relax stay at home/shelter in place,shelter,30,MT,Montana,2020,04,26,0.0,True
435,Stay at home order' issued but did not specifically restrict movement of the general public,shelter,31,NE,Nebraska,,,,1.0,True
486,End/relax stay at home/shelter in place,shelter,31,NE,Nebraska,,,,0.0,True
436,Stay at home order' issued but did not specifically restrict movement of the general public,shelter,32,NV,Nevada,,,,1.0,True
487,End/relax stay at home/shelter in place,shelter,32,NV,Nevada,2020,05,09,0.0,True
437,Stay at home order' issued but did not specifically restrict movement of the general public,shelter,33,NH,New Hampshire,,,,1.0,True
488,End/relax stay at home/shelter in place,shelter,33,NH,New Hampshire,2020,06,16,0.0,True
438,Stay at home order' issued but did not specifically restrict movement of the general public,shelter,34,NJ,New Jersey,,,,1.0,True
489,End/relax stay at home/shelter in place,shelter,34,NJ,New Jersey,2020,06,09,0.0,True
439,Stay at home order' issued but did not specifically restrict movement of the general public,shelter,35,NM,New Mexico,,,,1.0,True
490,End/relax stay at home/shelter in place,shelter,35,NM,New Mexico,,,,0.0,True
440,Stay at home order' issued but did not specifically restrict movement of the general public,shelter,36,NY,New York,,,,1.0,True
491,End/relax stay at home/shelter in place,shelter,36,NY,New York,2020,06,27,0.0,True
441,Stay at home order' issued but did not specifically restrict movement of the general public,shelter,37,NC,North Carolina,,,,1.0,True
492,End/relax stay at home/shelter in place,shelter,37,NC,North Carolina,2020,05,22,0.0,True
442,Stay at home order' issued but did not specifically restrict movement of the general public,shelter,38,ND,North Dakota,,,,1.0,True
493,End/relax stay at home/shelter in place,shelter,38,ND,North Dakota,,,,0.0,True
443,Stay at home order' issued but did not specifically restrict movement of the general public,shelter,39,OH,Ohio,,,,1.0,True
494,End/relax stay at home/shelter in place,shelter,39,OH,Ohio,2020,05,20,0.0,True
444,Stay at home order' issued but did not specifically restrict movement of the general public,shelter,40,OK,Oklahoma,2020,04,01,1.0,True
495,End/relax stay at home/shelter in place,shelter,40,OK,Oklahoma,2020,05,15,0.0,True
445,Stay at home order' issued but did not specifically restrict movement of the general public,shelter,41,OR,Oregon,,,,1.0,True
496,End/relax stay at home/shelter in place,shelter,41,OR,Oregon,2020,06,19,0.0,True
446,Stay at home order' issued but did not specifically restrict movement of the general public,shelter,42,PA,Pennsylvania,,,,1.0,True
497,End/relax stay at home/shelter in place,shelter,42,PA,Pennsylvania,2020,06,05,0.0,True
447,Stay at home order' issued but did not specifically restrict movement of the general public,shelter,44,RI,Rhode Island,,,,1.0,True
498,End/relax stay at home/shelter in place,shelter,44,RI,Rhode Island,2020,05,09,0.0,True
448,Stay at home order' issued but did not specifically restrict movement of the general public,shelter,45,SC,South Carolina,,,,1.0,True
499,End/relax stay at home/shelter in place,shelter,45,SC,South Carolina,2020,05,04,0.0,True
449,Stay at home order' issued but did not specifically restrict movement of the general public,shelter,46,SD,South Dakota,,,,1.0,True
500,End/relax stay at home/shelter in place,shelter,46,SD,South Dakota,,,,0.0,True
450,Stay at home order' issued but did not specifically restrict movement of the general public,shelter,47,TN,Tennessee,,,,1.0,True
501,End/relax stay at home/shelter in place,shelter,47,TN,Tennessee,2020,04,29,0.0,True
451,Stay at home order' issued but did not specifically restrict movement of the general public,shelter,48,TX,Texas,2020,04,02,1.0,True
502,End/relax stay at home/shelter in place,shelter,48,TX,Texas,2020,05,01,0.0,True
452,Stay at home order' issued but did not specifically restrict movement of the general public,shelter,49,UT,Utah,,,,1.0,True
503,End/relax stay at home/shelter in place,shelter,49,UT,Utah,,,,0.0,True
453,Stay at home order' issued but did not specifically restrict movement of the general public,shelter,50,VT,Vermont,,,,1.0,True
504,End/relax stay at home/shelter in place,shelter,50,VT,Vermont,2020,05,15,0.0,True
454,Stay at home order' issued but did not specifically restrict movement of the general public,shelter,51,VA,Virginia,,,,1.0,True
505,End/relax stay at home/shelter in place,shelter,51,VA,Virginia,2020,05,29,0.0,True
455,Stay at home order' issued but did not specifically restrict movement of the general public,shelter,53,WA,Washington,,,,1.0,True
506,End/relax stay at home/shelter in place,shelter,53,WA,Washington,2020,06,01,0.0,True
456,Stay at home order' issued but did not specifically restrict movement of the general public,shelter,54,WV,West Virginia,,,,1.0,True
507,End/relax stay at home/shelter in place,shelter,54,WV,West Virginia,2020,05,05,0.0,True
457,Stay at home order' issued but did not specifically restrict movement of the general public,shelter,55,WI,Wisconsin,,,,1.0,True
508,End/relax stay at home/shelter in place,shelter,55,WI,Wisconsin,2020,05,13,0.0,True
458,Stay at home order' issued but did not specifically restrict movement of the general public,shelter,56,WY,Wyoming,,,,1.0,True
509,End/relax stay at home/shelter in place,shelter,56,WY,Wyoming,,,,0.0,True
561,Closed businesses overnight,closure,1,AL,Alabama,,,,1.0,True
612,Began to reopen businesses,reopening,1,AL,Alabama,2020,04,30,0.0,True
562,Closed businesses overnight,closure,2,AK,Alaska,,,,1.0,True
613,Began to reopen businesses,reopening,2,AK,Alaska,2020,04,24,0.0,True
563,Closed businesses overnight,closure,4,AZ,Arizona,,,,1.0,True
614,Began to reopen businesses,reopening,4,AZ,Arizona,2020,05,08,0.0,True
564,Closed businesses overnight,closure,5,AR,Arkansas,2020,11,19,1.0,True
615,Began to reopen businesses,reopening,5,AR,Arkansas,2020,05,04,0.0,True
565,Closed businesses overnight,closure,6,CA,California,2020,11,21,1.0,True
616,Began to reopen businesses,reopening,6,CA,California,2020,05,08,0.0,True
566,Closed businesses overnight,closure,8,CO,Colorado,,,,1.0,True
617,Began to reopen businesses,reopening,8,CO,Colorado,2020,05,01,0.0,True
567,Closed businesses overnight,closure,9,CT,Connecticut,2020,11,02,1.0,True
618,Began to reopen businesses,reopening,9,CT,Connecticut,2020,05,20,0.0,True
568,Closed businesses overnight,closure,10,DE,Delaware,2020,12,14,1.0,True
619,Began to reopen businesses,reopening,10,DE,Delaware,2020,05,08,0.0,True
569,Closed businesses overnight,closure,11,DC,District of Columbia,2020,11,23,1.0,True
620,Began to reopen businesses,reopening,11,DC,District of Columbia,2020,05,29,0.0,True
570,Closed businesses overnight,closure,12,FL,Florida,,,,1.0,True
621,Began to reopen businesses,reopening,12,FL,Florida,2020,05,18,0.0,True
571,Closed businesses overnight,closure,13,GA,Georgia,,,,1.0,True
622,Began to reopen businesses,reopening,13,GA,Georgia,2020,05,01,0.0,True
572,Closed businesses overnight,closure,15,HI,Hawaii,,,,1.0,True
623,Began to reopen businesses,reopening,15,HI,Hawaii,2020,05,07,0.0,True
573,Closed businesses overnight,closure,16,ID,Idaho,,,,1.0,True
624,Began to reopen businesses,reopening,16,ID,Idaho,2020,05,01,0.0,True
574,Closed businesses overnight,closure,17,IL,Illinois,,,,1.0,True
625,Began to reopen businesses,reopening,17,IL,Illinois,2020,05,29,0.0,True
575,Closed businesses overnight,closure,18,IN,Indiana,,,,1.0,True
626,Began to reopen businesses,reopening,18,IN,Indiana,2020,05,18,0.0,True
576,Closed businesses overnight,closure,19,IA,Iowa,2020,11,17,1.0,True
627,Began to reopen businesses,reopening,19,IA,Iowa,2020,05,15,0.0,True
577,Closed businesses overnight,closure,20,KS,Kansas,,,,1.0,True
628,Began to reopen businesses,reopening,20,KS,Kansas,2020,05,04,0.0,True
578,Closed businesses overnight,closure,21,KY,Kentucky,2020,08,11,1.0,True
629,Began to reopen businesses,reopening,21,KY,Kentucky,2020,05,11,0.0,True
579,Closed businesses overnight,closure,22,LA,Louisiana,,,,1.0,True
630,Began to reopen businesses,reopening,22,LA,Louisiana,2020,05,01,0.0,True
580,Closed businesses overnight,closure,23,ME,Maine,2020,11,20,1.0,True
631,Began to reopen businesses,reopening,23,ME,Maine,2020,05,01,0.0,True
